datetime,Carbon Intensity (kgC02eq/kWh),Electricity Rate (NT$/kWh),"Radiation Intensity, I","Temperature,T (deg)",Available,-推廣中心-
2024-01-29 00:00:00,0.489962186389431,1.39,0.0,8.928166666666666,34.0,10.48
2024-01-29 01:00:00,0.485909089595339,1.39,0.0,8.571666666666667,40.0,10.92
2024-01-29 02:00:00,0.486051395540636,1.39,0.0,8.463333333333333,42.0,9.96
2024-01-29 03:00:00,0.485644211743087,1.39,0.0,8.123166666666666,42.0,10.42
2024-01-29 04:00:00,0.488353054705284,1.39,0.0,8.436416666666666,42.0,11.56
2024-01-29 05:00:00,0.488100161513833,1.39,0.0,8.406583333333332,40.0,11.98
2024-01-29 06:00:00,0.488080084457591,1.39,0.0,8.105416666666667,40.0,10.41
2024-01-29 07:00:00,0.475252897564935,1.39,1.19824416,8.29175,34.0,13.81
2024-01-29 08:00:00,0.452241362140843,3.33,45.64099472,9.060833333333331,26.0,21.93
2024-01-29 09:00:00,0.434137062942718,3.33,276.62224352,11.098,16.0,26.84
2024-01-29 10:00:00,0.42074823603825,3.33,189.162362079999,11.81825,24.0,25.9
2024-01-29 11:00:00,0.410694246315326,3.33,267.47578832,14.656166666666664,22.0,28.52
2024-01-29 12:00:00,0.418858403791948,3.33,644.98099104,15.406583333333332,22.0,27.59
2024-01-29 13:00:00,0.417613212402943,3.33,684.478944799999,15.348999999999998,30.0,30.13
2024-01-29 14:00:00,0.423944295339409,3.33,38.4209056,12.103666666666667,50.0,30.9
2024-01-29 15:00:00,0.438283147641296,3.33,33.49124352,12.196916666666668,36.0,31.76
2024-01-29 16:00:00,0.451323570117918,3.33,26.75664784,12.198166666666667,22.0,29.4
2024-01-29 17:00:00,0.466816704974105,3.33,9.28290416,12.026166666666668,24.0,28.41
2024-01-29 18:00:00,0.467549144517803,3.33,0.0,11.82275,16.0,26.08
2024-01-29 19:00:00,0.469786330457083,3.33,0.0,11.70041666666667,16.0,23.28
2024-01-29 20:00:00,0.472962375733054,3.33,0.0,11.408583333333333,20.0,16.09
2024-01-29 21:00:00,0.478386050692959,3.33,0.0,11.002333333333334,30.0,15.44
2024-01-29 22:00:00,0.484123080243326,3.33,0.0,9.997,30.0,9.82
2024-01-29 23:00:00,0.486877142457313,1.39,0.0,9.305250000000004,22.0,8.75
2024-01-30 00:00:00,0.493098905569683,1.39,0.0,8.928166666666666,28.0,8.69
2024-01-30 01:00:00,0.497903171252916,1.39,0.0,8.571666666666667,28.0,8.26
2024-01-30 02:00:00,0.503504302386765,1.39,0.0,8.463333333333333,36.0,9.56
2024-01-30 03:00:00,0.5066689423511,1.39,0.0,8.123166666666666,36.0,9.17
2024-01-30 04:00:00,0.506189756375992,1.39,0.0,8.436416666666666,40.0,10.28
2024-01-30 05:00:00,0.502184694850873,1.39,0.0,8.406583333333332,40.0,11.39
2024-01-30 06:00:00,0.501383225147309,1.39,0.0,8.105416666666667,40.0,9.85
2024-01-30 07:00:00,0.489035781151472,1.39,1.19824416,8.29175,28.0,12.52
2024-01-30 08:00:00,0.465212138087509,3.33,45.64099472,9.060833333333331,20.0,20.08
2024-01-30 09:00:00,0.444878154806046,3.33,276.62224352,11.098,10.0,23.04
2024-01-30 10:00:00,0.431293610837539,3.33,189.162362079999,11.81825,22.0,27.25
2024-01-30 11:00:00,0.419949787878067,3.33,267.47578832,14.656166666666664,22.0,28.15
2024-01-30 12:00:00,0.41740995036424,3.33,644.98099104,15.406583333333332,26.0,27.64
2024-01-30 13:00:00,0.412804901517743,3.33,684.478944799999,15.348999999999998,48.0,31.78
